language,sentences
es," con las cadenas, por entretener el tiem"
fr,", et tombanageant dans son sang. A ce fu"
fr," depanaches. Encore une fois, je suis po"
es,s en cifra a toda la caterva de caballer
es,"s estados abundan; empero estacondesa, p"
es,"n aquellas señoras, lo queella hizo de m"
es,"agrado, que había de ser tenido en respe"
es," para llevarle a comer, que yalos señore"
es,Y éstas son las maravillas que dije que 
fr,". Mais, en attendant, le pauvre diables'"
es,partarse de nosotros hasta que sea nuest
es,"alabra, volvió a traerel mono, y, puesto"
fr,euse.Cette tromperie dura encore quelque
en,N QUIXOTETOUCHING THE DISENCHANTMENT OF 
fr,"ingulièrefaçon! Par ma foi, seigneur, m'"
fr,gouvernement. DonQuichotte continua ains
fr,"e que je t'ordonne, repartit don Quichot"
fr,elle fût capabled'une si grande crédulit
es,"í a un poco, con voz doliente ylastimada"
es,ras algunas meescuches; que después resp
es,no se le halle. ¿No se representan por a
fr,"e, puisque je suis innocente des fautes "
es,laves de la fortaleza que guardaba. Enre
es,"a, el Emperador, elDiablo carretero y el"
fr," Allons, ami, rassure-toi, les choses vo"
fr,"gures aussi diverses qu'étranges, entrea"
fr,ut se contenter d'une burette de fer-bla
es,esario que lepareció; y al despedirse di
es,"iagos, tantos gigantes, tantas inauditas"
es,"labradoras, a paso tirado volvió abuscar"
en,"him to speak freely, he burst out:""This "
es,"laescuchare, por rústico y torpe que sea"
es,ahorcar a los que letrujeron el presente
fr," exemplaires, vos épaules en seront moul"
es,ezca a otro cosa más divina quehumana; y
fr,la rencontrait sous cedéguisement.Seigne
es, seconsuma y acabe en continuas peregrin
fr,"ment que je mepromettais de mon voyage, "
es,"orto de vista, que, aunque he visto la s"
es,"vés, como vuesa merced, señora mía, dice"
es,inase toda aquelladesventura. Cerró las 
es,"díjomeque sí, y que era un hombre muy de"
es,"nte, la venida del nuevo día saludaban. "
fr,"it punis pour vos fautes, la peine quevo"
es,", si sois juglar -replicó la dueña-, gua"
es,"desventura. Y, ansícomo estaba, sin acab"
es," feridas, no le hallaronninguna; y él di"
es," iglesia,ha muchos días y meses que me t"
es,un monesterio de una villa que estáaquí 
es,"lacarta de su marido, y con otra suya, y"
es,"ho los ojos y las orejas de un palmo, y "
es,"ía? Y sies mentira, también lo debe de s"
en," reached midstream, and Don Quixote, muc"
fr, et qu'elle n'eût pas lieu de se repenti
en,"sreply to Don Quixote arrived, and that "
fr,aicourage. On ne doit donc pas fuir sans
es,-Y ¿cuántos caben en ese caballo? -pregu
fr,strous sur le visage; mais on dit que ce
fr, celle des moulins à vent etcelle des ma
fr," verrou de la porte.Le chevalier, sentan"
es,"suelen algunosrenegados, cuando tienen i"
fr,r le roi sur les galères.[Illustration: 
fr,"ua l'inconnu, il est le premier que j'ai"
fr,"ompagnons, afinqu'ils eussent aussi la l"
es,cosa quiero que se entienda: que no soy 
fr,"ute, cette barque est placée ici pour le"
es,"ntos, por diversas partes del mundo, y h"
fr,lier est l'amant le plus constantet le p
en,HERDSeñor Vivaldo had finished the last 
es,"í vino la hija del señor deste castillo,"
es,l último tránsito y fin deaquel negocio.
es,le han vuelto el juicio; que ahora me ac
es, la color y pocalimpieza mostraba ser de
fr,nt acquise par toute la terre; et pour p
es," otro cura que en la procesión venía, cu"
fr,"e que c'était que ce bernement, et l'hôt"
es,haber puesto tan mal pensamiento en efet
en,to increase hissteed's canter to a gallo
es,"rostro tales colores que, si no es que l"
fr,x de Dulcinée nepeuvent être que deux ve
en,hat had happened to the child. All thewh
fr,"père, en voyant son affliction, l'embras"
es,"or encantada y por respondona, más asati"
fr,t ma fille sont bonnes catholiques; quan
es,"oco, o quitaré estas casas de juego, que"
fr,", car on vint la chercher en grande hâte"
fr,"it de la chanson, Dorothée voulut faire "
fr,"nts, et il a pris le mien, qui lui sied "
es,r él siquiera sacáramos lo que estabaenc
fr,"lus d'avoir été écuyer, et je memoque de"
es,o.-Yo lo creo así -respondió la duquesa-
en,whipping themselves and could not stop o
fr,t été mousse sur un navire tombé aupouvo
fr,a mejor ancha;    El brazo que su fuerza
es,oltalle les protestaba que no podíadejar
en,"ge.He had not gone far, however, when he"
fr, seul instant. Dans le prologue de _Pers
fr,lles que vous paraissez.Ces femmes le re
es,"ción, respondió Sancho:-Si son requesone"
es,"as de laandante caballería. Cuanto más, "
fr,"lage, qui se mêlait un peu de chirurgie,"
fr," ma vie; en vérité, vous méritez d'être "
fr,"d'Agimorato. Mes rameurs, déjà cachés en"
es, es verdad lo que a vuestra merced le pa
en,eing served on the grass.As they were ab
fr,ns tamémoire de quelle façon elle te rec
es,ante quele dio el cielo padres que se lo
es, a mí me parecían.-No hay duda -respondi
fr,"Sancho, maintenant que choisirait Votre "
fr,"aîcheur délicieuse, se trouvait un tombe"
fr,re aconquis ces dépouilles.Témoin de la 
fr,"ttendant,  baisez-lui les mains de ma pa"
fr,"rtagea entre ses troisenfants, en y ajou"
fr,"ait uncaban de drap vert, avec une bordu"
fr,"ourit du conseil de notre héros, et pour"
fr,nous sommes.La distance de caquenées à h
es,"vías posibles procuraban alegrarle, dici"
es,respondió Sancho- que si Dios me llega a
fr,ssé par l'impatience qu'ilavait de tout 
fr,"taccompagnés de deux hommes à cheval, et"
fr,i haletant qu'il ne pouvait plusrespirer
fr,"nt de sujets de m'affliger, et ne pouvan"
es,"se modo, no es cordura   querer curar la"
es,"a escaramuza del mundo.Viendo, pues, el "
en,"eager to serve him; and, what was more, "
fr,ne se dit-ilpoint lorsqu'il vint à se re
fr,force est vaincue par l'adresse.Corchuel
fr,"x visage, il leur dit d'un ton calme et "
fr,"es elles nesont pas de mon cru, car ce s"
en,een called for by the priests who desire
es,"nsula, sino de todo elmundo; y, con este"
fr,leurs pas doivent atteindre au terme de 
fr,irmer ses premiers soupçons.Mais avant d
en,"arty seatedthemselves, when a voice was "
fr," Sancho se mit à pleurer, jurant à son m"
fr,"courut ensuite à sonmaître, qu'il aida à"
fr,"lles.C'est ainsi que, par l'autorité du "
en,"der some cork-trees, and while they were"
fr," ne me trompe, est une ollapodrida, dit "
fr,"la curiosité, le curéet le barbier voulu"
es," diste tan luego, que primero nohubieses"
es,que no es tan bueno como yo quisiera. Se
fr,"emmes. Ceslouanges, toutes méritées qu'e"
es,bernador de mil ínsulas: buennatural tie
fr,nces etde hallebardes. Arrivé près d'eux
es,"lo dice elautor desta historia, que dest"
fr,de nouveaux genres d'enchantements et de
fr,"enez,croyez-moi; suivez mon conseil, je "
fr,a de le secourir.Mais lui de s'écrier: Q
fr,"t le retour.Je sais que je suis guéri, r"
fr,"sé, je m'en soucie comme d'un maravédis."
es,", que tuvieronlugar, sin acabarla, de ll"
fr, les sept cieux et de leur endonner des 
fr, à la certitudequ'il l'est réellement et
fr,"heveux, qu'oneût pris pour du crin, lui "
fr,"ieu d'un épais bouquetd'arbres, fut un u"
fr," ami Sancho, et dans cetteréclusion forc"
es, siempre he oído decir a mismayores que 
fr,devenus les lions? ajouta-t-il: sont-ils
es,os agora que la discreción era mocosa!As
fr,le Turc fait de grands préparatifs de gu
en,"ce thou wilt go to El Toboso, where thou"
fr,"qui précéda mon départ, je vis ma chère "
es,"ba por levantarse y no podía, estaba dic"
es,lí a tres días fuese su partida; en los 
fr,"et qu'il en existe encore à cette heure,"
fr,tu supposer que le bachelier Samson Carr
en,nante had gone like lightning; and Don Q
es,", donde lleva lo peor de la batalla y es"
fr,"latde fruits, parce que c'est une chose "
es,"villa, que era cercada, salió el regimie"
es,"encantada, haré cuenta que vienen de gol"
fr,"n soit  propre, et décent.  «Pour gagner"
en,d the moment Sancho saw his face and hea
fr,"u me conseilles sifort de me marier, c'e"
es,basta que yo se lo mande para que meteng
es,"rra, ni de todo el linaje de los Perleri"
es,riscos y entre breñas  halla el triste d
es," aguja y la almohadilla,y la rueca mucha"
es,"ruel Osiris, sino en las de Roque Guinar"
es,lmentesucedió por vía ordinaria.-No lo c
fr,"ression d'un de ses biographes[149], all"
es,enosAmaneció el día que se siguió a la n
en,"n's soul, he consented; and as Quiteria,"
es, traje de varón yun hermano suyo en hábi
es,"a dos días selevantó don Quijote, y lo p"
fr,"c'était un bon compagnon, charitable et "
fr,"urs, les choses merveilleuses qu'il avai"
fr,u du heaume complet ils'aperçut qu'il ne
fr,sse pas tellement d'arriver au but quel'
fr,e propose serait tout au plus bon pour l
fr,ut son courage pour n'être pas épouvanté
es,"guna; antes, apagando las antorchas, tor"
fr,s-mêmes.Chacun gardait le silence: ce fu
fr, par de charitables œuvres.Je n'en fais 
fr," fraîche.Or, il arriva que Rossinante n'"
fr, les chantiers. Je ne recommandai rien a
fr," vous soyez le même.Il suffit, reprit do"
es,"orirprimero que él, y que de allí a poco"
fr,"ceuxqui chancellent, bras qui relève les"
en,or a dream? Will my squire Sancho's whip
es,"faltaba.Causóme esto mucha pesadumbre, p"
fr, cours saluer de ma part la dame au pale
fr, ces seigneursà la taverne: s'il en arri
fr,rchevalier à la première occasion qui vi
es,"an vivo. Supeque sabía muy bien arábigo,"
fr,lqu'un peut-il sevanter de connaître les
es,"on, comenzaron a caminar por el pradoarr"
fr,quoique j'aie bien vu la selle.[Illustra
en,ge 333_]When Don Quixote saw his old fri
es,"os. Pasmóse el duque, suspendióse la duq"
es,"ainando muchas espadas,arremetieron a Ba"
es,scientos ducados para ayuda a la dote de
es,"rto en laconversación, con gran gusto de"
fr,de savoir qui était le chevalier de la B
es,"dacorría peligro su honestidad, y en la "
fr,"-t-il en grinçant des dents, si je ne me"
es,rca de lo que mi señora me manda que la 
en,"eard his final judgment pronounced, he c"
fr, reine Antonomasie ont repris leur premi
fr,nt sans doute de ce qu'étant à cribler l
en,OF THE ADVENTURE THAT BEFELL HIM WITH A 
en,hirt. But the strangest thing of all was
fr,"es; pour moi, je ne sais rien autre chos"
es," un hombre a caballo, que traía en lacab"
es,"e, y acordamos devenir a ver con los ojo"
fr, vint à se rappelertout à coup le Maure 
es,"dra,vine yo a quedar cautivo en su poder"
es, me santiguaron los hombros con suspinos
fr," du Toboso, que je ne connaispoint, mais"
es,"o sale el ahorcado que esperan,porque le"
es,"nos puede causar contento alguno. Pues, "
fr, serait bientôt de retour.Camille fut fo
en,ntained surpassed allother sciences.Don 
es,esmentíla y enojóse;   volvió por ella s
fr,"à cela près, il a un très-bon naturel; e"
fr,"ue voudra nous tondre, lesciseaux rester"
en,er hadrelinquished his will in his favor
es,itármela a mí y entregarla a aquél conqu
es,"rdidoso, otroregidor del mismo pueblo le"
es,"o, porque caminaban más sus pollinas que"
fr,lonl'estime qu'on faisait du cru; déclar
es,ue canta es un mozo demulas.-No es sino 
fr,y a pas de témoin contre lui. Franchemen
es,"e de los que padece, mejorándose miventu"
es, qué es ponerme yo ahora a delineary des
es,"curas que no pierda; y, cuando el tuyo n"
es,del ya vencido toro el implacable   bram
fr,"it Sancho, je viens de trouver la chose:"
fr,tes-nous vite ce que vousavez pour soupe
fr," A cettevue, Sancho ouvre de grands yeux"
es," deMontesinos, y el sabio Merlín ha echa"
es,"opellando portodo género de crianza, com"
en,"s and being kind to the poor,instead. Bu"
es,"n o preámbulo; y, aunque iba revolviendo"
fr,"fection de ceux que tu gouvernes, observ"
en,"enty bodies on horseback, all dressed in"
fr,aîche. Sancho répondit que quoiqu'il eût
es,"óque así lo haría, mas cumpliólo de mane"
fr,pprennent la vérité de ta propre bouche.
es," pueblo. ¡No, sino estaossiempre en un s"
es,eciente de las armas; ohhonor y espejo d
fr,ils pas dessignes évidents que le temps 
es,"ante.Tomado, pues, este apuntamiento, y "
fr,"s et quelquefois les méchants, vousa env"
fr,                                 159  XX
fr,"les yeux ne lequittaient pas, le voyant "
fr,"ion, ce qui est la perte la plus sensibl"
fr,court qu'il ne descendait pas àla moitié
en, withdraw to adistance and to approach t
fr,r les passes d'armes qu'il avaitvues dan
fr, son maître avait abattu la tête du géan
es,e tener a raya tus naturales ímpetus.-Di
fr,"el, ou fait voir dans le monde,  Ni de p"
fr,n'est bien qu'à Rome.Les deux cavaliers 
es,"tiésemos en pastores,siquiera el tiempo "
es,"el tuyo, hará él lo que te estaríamás ma"
es,", tirador acá,médico acullá, padre de la"
fr,"t le portrait de maDulcinée, je pouvais "
fr,ux cents écus tu m'en offrirais le doubl
fr,"insi, pendantlesquels notre chevalier re"
es,"re estosdisparatados, el que muestra que"
en,thy will andpleasure a knight so renowne
fr,qu'il fut longtemps sans pouvoir articul
fr,onté scélérat n'eût habilement commencé 
fr," salle, où leduc et la duchesse, déjà le"
fr,"n de la vie, on n'avait qu'à étendre lam"
fr," Espagne, où je les vendrai fort bien, e"
fr,"le moindre soupçon, hacherait sa fille s"
fr,"e pièce, palpitante d'exaltation patriot"
es,"traron afligirse los capitanes, entriste"
fr,donné à un de mes gens une lettre avec o
fr,n'entends pas accompagner mon maître dan
fr,cage avec lui comme membre de lamême che
es, estavida que en la vuestra se sustenta.
fr,"ante, dit le curé, mais je ne sauraisme "
fr,"nt jusqu'àterre, vinrent ensuite prendre"
es,nde gusto de las simplicidades deSancho 
es,n no visto suceso. Parecióle a Dorotea q
es,"porque veavuestra merced esta verdad, es"
es,"oder combatir conmigo; y así, aunque aus"
es," es ansí, no teasalten la imaginación es"
es,a dejado a don Quijote.Capítulo LXV. Don
fr,vitessequ'il se croyait emporté par tous
fr,ais n'espère pas que je te pardonnela mo
es, esto de la caballería andante? Porque s
es,a merced se vendrá a hacer penitencia co
es," habían parado, ni sihabían llegado a Es"
fr,"oubliant sa promesse, l'ingrat allait en"
es,"o estatraza de llevalle desta manera, de"
es," que, Sancho amigo, no te congoje lo que"
es,"rque ni se atrevía aestar en su casa, ni"
es," que le diese el aire, se descubrió en é"
fr,eproduiront jamais les désordres qu'ont 
es,"ís; porque, ya que os averigüen la menti"
es,"orque, presupuesto que Luscinda no puede"
fr,T QUE L'ON PEUT VÉRITABLEMENT APPELERUNE
en,"ct of love and war, andheld forth to the"
es,ba de ninguna promesa que su amo lehubie
fr,.Sancho s'affligea fort de ce bel exploi
fr,"e me l'a point dit, quoique je l'en ai b"
fr,llageois non moins étonnés de son étrang
es,las a la memoria no me sirve de otra cos
es, que a mímás me fatigaba era el ver ir a
es,e muy buena gana.-Si yo la tuviera de ag
